registro,sujeto,run,tarea,label,mu_C3,mu_C4,mu_Cz,beta_C3,beta_C4,beta_Cz,coh_mu_C3C4,coh_beta_C3C4,coh_mu_C3Cz,coh_beta_C3Cz,coh_mu_C4Cz,coh_beta_C4Cz,ent_C3,ent_C4,ent_Cz,hjorth_act_C3,hjorth_mob_C3,hjorth_comp_C3,hjorth_act_C4,hjorth_mob_C4,hjorth_comp_C4,hjorth_act_Cz,hjorth_mob_Cz,hjorth_comp_Cz
S001_R04_REST_e000,S001,4,REST,0,3.0701978842460593e-12,7.70664543757213e-12,8.94517101426438e-12,2.6779357979866672e-12,2.7353549996173527e-12,2.372854313937161e-12,0.2374491158449012,0.29817728011196626,0.45298636487820576,0.34104368754417086,0.5139586683817216,0.42146590566172526,0.7035542219636545,0.678543706933998,0.7229868571815653,2.2499110148457491e-10,0.5801839911307037,1.9740145655967751,3.096552457151146e-10,0.44578925906976086,2.320650033182119,2.960910990892955e-10,0.5238321893955022,2.1008020515829795
S001_R04_REST_e001,S001,4,REST,0,4.236735676582015e-12,4.202317417823878e-12,4.779347461579209e-12,2.342497398278313e-12,1.968303639357016e-12,1.7318072742305943e-12,0.20871669928093167,0.29481127397341866,0.3848914891790758,0.37746328126424916,0.3178858372585791,0.25952295344644366,0.7262988502767834,0.7275315054379834,0.6939152854734025,2.511695486975689e-10,0.5517963496302579,2.005852503254119,1.8109065734547082e-10,0.5141463139147929,2.0251744046065667,2.683631756228511e-10,0.43097940501188703,2.4331358556192635
S001_R04_REST_e002,S001,4,REST,0,9.75774729052744e-12,9.99009903701201e-12,6.480408127252875e-12,2.014308798815981e-12,2.7024618219170623e-12,2.0014141966184974e-12,0.3883569333028881,0.2735533808956328,0.3433848427693167,0.32668334916052183,0.292343456417568,0.35341366073769,0.6774513380301975,0.6399243331899601,0.5856351742283767,3.100004415164711e-10,0.46445187953615924,2.332772416545245,3.7802778744521914e-10,0.4014197314924068,2.507346419440813,4.797131230364822e-10,0.34825220917728694,2.9898654070745567
S001_R04_REST_e003,S001,4,REST,0,6.940686478203108e-12,8.609433624988431e-12,4.56011144096909e-12,2.7428106764737407e-12,2.2939185131573448e-12,2.4069153631630727e-12,0.3277902509557429,0.21716352711227466,0.14751417797260066,0.48380452808019836,0.3518064833403408,0.3499015275874774,0.7353319118119306,0.7000769171295329,0.721704027448297,2.3677238062704654e-10,0.5499476397643615,1.8705844713994426,2.356283410148848e-10,0.4715505849114967,2.1066354446442883,2.32135680219948e-10,0.4720816615723149,2.1701818736915643
S001_R04_REST_e004,S001,4,REST,0,6.488558439634489e-12,5.128647160822606e-12,7.834324912556058e-12,2.0123673707978433e-12,2.3470305589228823e-12,2.0218273645191367e-12,0.3267074722687514,0.29918789638377413,0.5875346820263342,0.3897075751637682,0.5290075897234898,0.39770528563057667,0.6988181900045706,0.6554741000068924,0.5982216543629404,2.3116259477477122e-10,0.49271880170126997,2.1476941404995995,2.851693627434922e-10,0.4502942849507555,2.302759282471897,3.9928509846099197e-10,0.3801197847680176,2.7192275920613946
S001_R04_REST_e005,S001,4,REST,0,3.683280479652224e-12,3.0862560832139737e-12,3.506904617250145e-12,2.2246106252042968e-12,1.6056381759154577e-12,2.182525709814479e-12,0.3175952478032687,0.19528226978786997,0.32179209776012496,0.4160932281042381,0.39679043489826704,0.321909447962674,0.7020670911061588,0.6314005922816522,0.6476944586223151,2.263825230452799e-10,0.494459133277447,2.1654318465912827,2.214956729351922e-10,0.4515825610458069,2.374854375443731,3.13132407422389e-10,0.41469785777331136,2.4842251219779246
S001_R04_REST_e006,S001,4,REST,0,1.2261478124671481e-11,5.292761783094202e-12,5.873759819067471e-12,4.584632440929107e-12,3.166194638494239e-12,3.3084856886510704e-12,0.4687388609339088,0.31253807616201007,0.5636595751721598,0.5228814134286318,0.41785650579218636,0.37909820524021,0.7064698033690837,0.6255782773340911,0.5866502272373445,3.223316692662556e-10,0.5064963062823706,1.937162656666785,3.161776716066899e-10,0.4618331478291208,2.154382681960669,3.9776377635541835e-10,0.4094125137840663,2.5255448706648194
S001_R04_REST_e007,S001,4,REST,0,1.0181500159330562e-11,7.300409403212599e-12,5.5697200618544545e-12,3.884861772478581e-12,2.4341346449035445e-12,2.569755578680704e-12,0.3531369492976309,0.2299239718583444,0.38562838621366513,0.41492344136820153,0.32490078559666424,0.3573257950537312,0.7075869272928875,0.7514446680334056,0.7087820082438782,2.6510879573469503e-10,0.527102793248826,1.8973212875374188,2.0303621167781464e-10,0.5049359388972295,1.993296326213102,2.6435869842828917e-10,0.451863347637722,2.213411891511881
S001_R04_REST_e008,S001,4,REST,0,7.764358113344126e-12,8.48414846741242e-12,2.6891662555349024e-12,2.3876004779813624e-12,1.8761088057689925e-12,2.0770580406504863e-12,0.5964888911656125,0.25574657068928164,0.33767171907812976,0.4574913127975361,0.2423899970230739,0.45237693927583095,0.7434831269115065,0.7329663084780098,0.5951281138293273,1.849183164376817e-10,0.540998285252516,1.8844962700105155,1.9097048687768523e-10,0.5027099200434175,2.0361693263501923,3.4055966841976423e-10,0.3756874634805419,2.7443899642278247
S001_R04_REST_e009,S001,4,REST,0,8.142364080651916e-12,5.766397134512356e-12,4.025497172478022e-12,3.2970539456452223e-12,2.1999625648280765e-12,2.572946018181508e-12,0.2758212236787937,0.2499659280611707,0.3199776964756377,0.4481612478718201,0.4457687575126832,0.3910518898047207,0.7281433375664191,0.6289258985363294,0.6056847689399844,2.867799497783419e-10,0.5523552335707015,1.9098813986899397,3.372841523159695e-10,0.419383357095121,2.5089120487366365,3.743825618926876e-10,0.4158564078366013,2.5668783683415475
