sujeto,run_tipo,condicion,epoca,potencia_mu_C3,potencia_mu_C4,potencia_mu_Cz,potencia_beta_C3,potencia_beta_C4,potencia_beta_Cz
S001,MM,REST,0,3.838116580259385,4.104523745802964,6.029635109870046,1.85620854391531,2.2204143562341727,1.9984899534445095
S001,MM,MM_R,0,3.3152079914518744,4.682400497303417,3.0168099425549615,2.375913344756541,1.4962146523375677,1.6481654152324434
S001,MM,REST,1,5.750061474104778,5.103582936823389,7.337813785670819,3.5540639168975363,2.105895267617924,2.184269778318138
S001,MM,MM_L,0,5.396872768257917,5.005263465669679,5.939246107670835,1.9550463667596587,1.9944190051382134,1.917908395580803
S001,MM,REST,2,3.1690581171097483,5.8802648666392745,5.204501472162837,4.604843843265802,2.8064147994606765,1.9955954230695352
S001,MM,MM_L,1,1.8112949074821714,2.9046343513853485,6.564544717881388,1.5740401580729813,1.7702321480216594,1.8774220222372537
S001,MM,REST,3,6.645506643092313,14.33005535093481,7.769834577548003,3.603734811158763,4.29772094990811,2.0890410848908174
S001,MM,MM_R,1,4.174582106502686,3.473372249891629,5.141204077003186,2.4816215620647704,2.4971223929772024,2.151132589371868
S001,MM,REST,4,8.925024754250398,7.993609406327417,9.951909559074506,5.713145415064532,3.694504877312961,2.5318660594388893
S001,MM,MM_R,2,2.430960969174908,5.018575897428259,6.861515348227356,1.5454296928622746,2.298420701040262,2.476161469979348
S001,MM,REST,5,12.872447666173962,4.384102459332562,6.6505069364429295,3.6330309453860568,2.0217208348290927,2.3998155034049664
S001,MM,MM_L,2,4.4878048069519965,2.3977808435954917,4.813912105506101,1.9493534385871578,1.4940049278843681,2.2842956754633232
S001,MM,REST,6,3.1130380013653474,4.013461448342881,4.607111551948941,2.1763801038905553,2.260236550846034,2.1508659230474825
S001,MM,MM_L,3,4.650803413737353,3.5167920588416446,4.3994703427603765,2.6554148692894133,1.6363709633962393,3.659565013909713
S001,MM,REST,7,5.099514169294785,5.68591522873594,4.155690617084964,2.8620184186080735,2.796101946862238,1.9593946263005504
S001,MM,MM_R,3,2.4456096193316212,4.378870208902646,3.3384067402344506,1.9977774500974494,2.2460484644118015,2.4576375710900575
S001,MM,REST,8,3.9571647280451785,6.89769606666952,8.314346368671389,3.033075920187595,2.5506832903047068,2.1346839663995207
S001,MM,MM_L,4,3.3418342498329348,4.600886684329868,4.045564622884751,1.7590764794158567,1.847465395652707,2.345715936946683
S001,MM,REST,9,5.681024129368989,7.331209212426823,5.956923428097594,2.67973179328492,2.4282981550938367,2.1761832221355086
S001,MM,MM_R,4,4.445653229149609,6.224424604580955,6.082863143705717,1.9791741283214959,2.729391117510793,2.6576426435555542
S001,MM,REST,10,5.533406849460195,6.032295589682282,5.75866089415657,2.918481034232851,2.1060098380252543,2.4230067177161176
S001,MM,MM_R,5,4.918278519640033,7.092347713566119,6.086939675199781,1.6383246455566254,2.5466743494212425,2.376558105934894
S001,MM,REST,11,9.769271216776545,16.21935775418474,4.1977089440786655,3.9888556203775,4.797435717258661,2.4738177192387583
S001,MM,MM_L,5,8.59411355700674,7.986239413118487,6.78130000311891,2.6577737407453412,3.2336115781429235,2.6467973992102793
S001,MM,REST,12,7.559769502060703,5.802235565488662,4.9705283644735845,2.4811160368793557,2.8328451607951024,2.952869510955146
S001,MM,MM_L,6,5.503677066575105,2.6814272268487005,4.92043221475584,3.5309478284084035,2.730051803557451,5.860754104133545
S001,MM,REST,13,9.35921858079895,20.002717741242435,5.010479929616213,3.0861240796793434,4.340863490024666,2.5916168072888395
S001,MM,MM_R,6,4.121756228961292,5.077634104714866,7.3365671627675795,2.4965765916789353,2.837996063190979,2.5810816920196866
S001,MM,REST,14,5.281568843187341,4.080909293755091,6.644050942848004,2.725359857479789,3.8861150208763733,2.2256887550540574
S001,MM,MM_L,7,7.232529006704856,5.915519447831315,12.254381884269309,2.5578948336152094,2.4939923988754553,2.4323310219130225
S001,MM,REST,0,2.3093160838295232,3.1712831562999177,3.810082070647288,1.5610215549496809,1.8423691563202116,1.9933903297197741
S001,MM,MM_L,0,2.5485337272842394,2.4512789878743515,5.778847915761991,2.794005585433603,1.7122973856525572,3.1020248689999517
S001,MM,REST,1,3.6744980272148675,6.590803024206431,4.905750132803835,2.262861009505989,3.3260051987700576,2.622364946332428
S001,MM,MM_R,0,1.3503003100630195,6.349415256458171,4.75468634497045,2.0687447978534803,4.669081305794839,1.7527841724474766
S001,MM,REST,2,4.431847854891826,4.646042097499922,6.578154290810805,3.43880087302848,2.361138994299664,2.2534604167518433
S001,MM,MM_L,1,6.035042082726444,4.333842885594614,8.461744313010303,2.481269713354059,2.224037043737904,3.1139278908142765
S001,MM,REST,3,10.425492376032835,11.29387216692964,7.547468724364971,4.170258280322271,3.0195173426098934,3.1292641157167513
S001,MM,MM_R,1,7.0276553529205525,10.641284458288538,9.506043540169618,2.586409403707034,4.928346187306167,2.6854324992608567
